POSTCODE,SUBURB,STATE,PO BOX,COUNTRY,LONG,LAT
1750,NORTH PARRAMATTA,NSW,1,AU,151.0036709,-33.79728252
1755,BAULKHAM HILLS,NSW,1,AU,150.9793373,-33.75271387
1765,CASTLE HILL,NSW,1,AU,150.9998896,-33.72793603
1781,SEVEN HILLS MC,NSW,1,AU,,
1790,ST MARYS,NSW,1,AU,150.7714538,-33.75837632
1800,ASHFIELD,NSW,1,AU,151.1261727,-33.88872679
1805,BURWOOD,NSW,1,AU,151.1038172,-33.87805123
1811,SILVERWATER,NSW,1,AU,151.045215,-33.83620025
1825,LIDCOMBE,NSW,1,AU,151.05807,-33.85474301
1835,AUBURN,NSW,1,AU,151.0262081,-33.85467781
1851,WETHERILL PARK DC,NSW,1,AU,,
1860,FAIRFIELD,NSW,1,AU,150.9523941,-33.87126875
1871,LIVERPOOL,NSW,1,AU,150.9158619,-33.9236362
1875,MOOREBANK,NSW,1,AU,150.9413383,-33.93566973
1885,BANKSTOWN,NSW,1,AU,151.0318218,-33.92050298
1890,INGLEBURN,NSW,1,AU,150.863276,-34.00455271
1891,MILPERRA,NSW,1,AU,150.9835613,-33.93686677
2000,BARANGAROO,NSW,0,AU,151.2015802,-33.86051951
2000,DAWES POINT,NSW,0,AU,151.2069524,-33.85659644
2000,HAYMARKET,NSW,0,AU,151.2050073,-33.88096124
2000,MILLERS POINT,NSW,0,AU,151.2041837,-33.85952935
2000,PARLIAMENT HOUSE,NSW,0,AU,151.212586,-33.867324
2000,SYDNEY,NSW,0,AU,151.2093319,-33.86885141
2000,SYDNEY SOUTH,NSW,0,AU,151.205873,-33.8743125
2000,THE ROCKS,NSW,0,AU,151.2081519,-33.85946101
2001,SYDNEY,NSW,1,AU,151.2093319,-33.86885141
